 Script Name, Automation Percentage,Automation Percentage New
 MERCURY_CANCELLED_ACCESSORY_ORDER_DETAIL_LOAD,97,97
 MERCURY_CANCELLED_ACCESSORY_ORDER_LOAD,97,97
 MERCURY_CHANNEL_DEALER_LOAD,98,98
 MERCURY_CHANNEL_INVENTORY_LOCATION_LOAD,98,98
 MERCURY_CHANNEL_USER_LOAD,98,98
 MERCURY_CHANNEL_USER_LOAD_sh_01282021,98,98
 MERCURY_CHARGE_ADJUSTMENT_DETAIL_LOAD,98,98
 MERCURY_CHARGE_DECOMPOSE_LOAD2,98,98
 MERCURY_CHARGE_LOAD2,98,98
 MERCURY_CHARGE_TAX_DETAIL_LOAD,99,99
 MERCURY_CHUB_SUBSCRIBER_EXT_DELTA_LOAD,100,100
 MERCURY_CHUB_SUBSCRIBER_EXT_SNAPSHOT_LOAD,100,100
 MERCURY_CHURN_REPORT_APPROVAL_LOAD,100,100
 MERCURY_CLARITAS_METRO_SEGMENTATION_LOAD,100,100
 MERCURY_COUPONS_LOAD,98,98
 MERCURY_COUPON_INVENTORY_LOAD,98,98
 MERCURY_CPNI_PREFERENCE_LOAD,97,97
 MERCURY_CRM_CASE_ACTION_LOAD,98,98
 MERCURY_CRM_CASE_DETAILS_LOAD,99,99
 MERCURY_CRM_CASE_HISTORY_DESCRIPTION_LOAD,97,97
 MERCURY_CRM_CASE_HISTORY_LOAD,98,98
 MERCURY_CRM_CASE_RULES_LOAD,97,97
 MERCURY_CRM_CASE_SOLUTION_CODES_LOAD,97,97
 MERCURY_CRM_CASE_TYPE_LOAD,97,97
 MERCURY_CRM_CLOSED_CASE_DETAILS_LOAD,98,98
 MERCURY_CRM_QUEUE_NAMES_LOAD,97,97
 MERCURY_CSAT_CORE_SURVEY_EXTRACT,100,100
 MERCURY_CSM_ACTIVITY_LOAD,97,97
 MERCURY_CSM_FUTURE_REQUEST_LOAD,98,98
 MERCURY_CSM_STATUS_ACTIVITY_LOAD,97,97
 MERCURY_CUSTOMER_ACCOUNT_BALANCE_LOAD,97,97
 MERCURY_CUSTOMER_ACCOUNT_BILLING_STATEMENT_LOAD,97,97
 MERCURY_CUSTOMER_ACCOUNT_DIM_LOAD,99,99
 MERCURY_CUSTOMER_ACCOUNT_EMAIL_LOAD,98,98
 MERCURY_CUSTOMER_ACCOUNT_HISTORY_LOAD,97,98
 MERCURY_CUSTOMER_ACCOUNT_LOCATION_HISTORY_LOAD,98,98
 MERCURY_CUSTOMER_ACCOUNT_MONTHLY_BALANCE_LOAD,97,97
 MERCURY_DAILY_AMDOCS_AR9_ACCOUNTANALYSIS_ENDDAY_LOAD,100,100
 MERCURY_DAILY_AMDOCS_AR9_ACCOUNTANALYSIS_MTD_LOAD,100,100
 MERCURY_DAILY_AMDOCS_AR_SUMMARY_LOAD,100,100
 MERCURY_DAILY_AMDOCS_FINANCE_SUMMARYDATA_LOAD,100,100
 MERCURY_DAILY_CSAT_SURVEY_EXTRACT,100,100
 MERCURY_DAILY_METRONOW_SNAPSHOT_LOAD,100,100
 MERCURY_DAILY_SHOPPERTRAK_KPI_SUMMARY_LOAD,100,100
 MERCURY_DAILY_SHOPPERTRAK_SALES_SUMMARY_LOAD,99,100
 MERCURY_DC_RECON_PAYFILE_LOAD,100,100
 MERCURY_DEALERCOMP_SPIFF_WORKING_UPDATE,100,100
 MERCURY_DEALER_ALLOCATION_RPT_SUMMARY,100,100
 MERCURY_DEALER_MASTER_ACCOUNT_CONTACT_RELATION_LOAD,98,98
 MERCURY_DEALER_MASTER_ACCOUNT_LOAD,98,98
 MERCURY_DEALER_MASTER_CONTACT_LOAD,98,98
 MERCURY_DEALER_MASTER_MARKET_LOAD,98,98
 MERCURY_DEALER_MASTER_MARKET_LOAD_20201119,98,98
 MERCURY_DEALER_MASTER_PAY_TERM_LOAD,98,98
 MERCURY_DEALER_MASTER_PRICE_TIER_LOAD,98,98
 MERCURY_DEALER_MASTER_PROFILE_LOAD,99,99
